"Year","Coal Coking","Coal Non-coking","Total","Hard Coke","Washed coke"
"2000-01","30.90","282.80","20.34","11.70","8.64"
"2001-02 ","28.67","299.12","19.74","11.73","8.01"
"2002-03 ","30.20","311.08","22.12","13.92","8.20"
"2003-04","29.40","331.85","21.32","13.12","8.20"
"2004-05","30.22","352.39","21.46","12.67","8.79"
"2005-06","31.51","375.50","21.75","13.38","8.38"
"2006-07","32.10","398.74","19.59","12.57","7.03"
"2007-08","34.46","422.63","19.71","12.54","7.17"
"2008-09","34.81","457.95","19.15","13.68","7.18"
"2009-10","44.26","487.81","12.66","12.66","NA"
